Машина: Town Car; Производитель: Lincoln; Год выпуска: 2007; Окраска: Orange;
Машина: Lancer; Производитель: Mitsubishi; Год выпуска: 2010; Окраска: Turquoise;
Машина: Mustang; Производитель: Ford; Год выпуска: 2003; Окраска: Mauv;
Машина: Grand Caravan; Производитель: Dodge; Год выпуска: 2010; Окраска: Purple;
Машина: Escalade EXT; Производитель: Cadillac; Год выпуска: 2003; Окраска: Red;
Машина: Avenger; Производитель: Dodge; Год выпуска: 1999; Окраска: Yellow;
Машина: Swift; Производитель: Suzuki; Год выпуска: 2007; Окраска: Indigo;
Машина: Grand Prix; Производитель: Pontiac; Год выпуска: 2001; Окраска: Aquamarine;
Машина: Equator; Производитель: Suzuki; Год выпуска: 2001; Окраска: Turquoise;
Машина: Aerostar; Производитель: Ford; Год выпуска: 2003; Окраска: Teal;
Машина: D250; Производитель: Dodge; Год выпуска: 2005; Окраска: Red;
Машина: 3 Series; Производитель: BMW; Год выпуска: 1998; Окраска: Crimson;
Машина: i-370; Производитель: Isuzu; Год выпуска: 2009; Окраска: Goldenrod;
Машина: 57; Производитель: Maybach; Год выпуска: 2000; Окраска: Crimson;
Машина: Optima; Производитель: Kia; Год выпуска: 2003; Окраска: Mauv;
Машина: Ram 3500; Производитель: Dodge; Год выпуска: 2007; Окраска: Orange;
Машина: 3500; Производитель: Ram; Год выпуска: 2010; Окраска: Goldenrod;
Машина: LHS; Производитель: Chrysler; Год выпуска: 2003; Окраска: Yellow;
Машина: Cobalt; Производитель: Chevrolet; Год выпуска: 2004; Окраска: Fuscia;
Машина: TT; Производитель: Audi; Год выпуска: 2005; Окраска: Red;
Машина: R-Class; Производитель: Mercedes-Benz; Год выпуска: 2008; Окраска: Crimson;
Машина: Cougar; Производитель: Mercury; Год выпуска: 2009; Окраска: Puce;
Машина: 3500; Производитель: Club; Год выпуска: Coupe; Окраска: GMC;
Машина: XF; Производитель: Jaguar; Год выпуска: 2007; Окраска: Crimson;
Машина: Prowler; Производитель: Plymouth; Год выпуска: 1999; Окраска: Fuscia;
Машина: A8; Производитель: Audi; Год выпуска: 2008; Окраска: Red;
Машина: car; Производитель: model; Год выпуска: car; Окраска: make;
Машина: C-MAX Hybrid; Производитель: Ford; Год выпуска: 2009; Окраска: Red;
Машина: Viper; Производитель: Dodge; Год выпуска: 2009; Окраска: Pink;
Машина: Talon; Производитель: Eagle; Год выпуска: 2009; Окраска: Turquoise;
Машина: Ram 50; Производитель: Dodge; Год выпуска: 2007; Окраска: Maroon;
Машина: Camaro; Производитель: Chevrolet; Год выпуска: 2008; Окраска: Red;
Машина: RX Hybrid; Производитель: Lexus; Год выпуска: 2008; Окраска: Goldenrod;
Машина: 900; Производитель: Saab; Год выпуска: 2008; Окраска: Orange;
Машина: E-Class; Производитель: Mercedes-Benz; Год выпуска: 1999; Окраска: Blue;
Машина: Cougar; Производитель: Mercury; Год выпуска: 2006; Окраска: Teal;
Машина: Envoy; Производитель: GMC; Год выпуска: 2004; Окраска: Orange;
Машина: Daewoo Magnus; Производитель: Suzuki; Год выпуска: 1998; Окраска: Pink;
Машина: Explorer; Производитель: Ford; Год выпуска: 2006; Окраска: Green;
Машина: Firebird; Производитель: Pontiac; Год выпуска: 1998; Окраска: Green;
Машина: Sable; Производитель: Mercury; Год выпуска: 1998; Окраска: Fuscia;
Машина: QX56; Производитель: Infiniti; Год выпуска: 2004; Окраска: Puce;
Машина: del Sol; Производитель: Honda; Год выпуска: 2009; Окраска: Turquoise;
Машина: Wrangler; Производитель: Jeep; Год выпуска: 2007; Окраска: Puce;
Машина: S-Class; Производитель: Mercedes-Benz; Год выпуска: 2003; Окраска: Crimson;
Машина: Grand Prix; Производитель: Pontiac; Год выпуска: 1999; Окраска: Crimson;
Машина: Forenza; Производитель: Suzuki; Год выпуска: 2009; Окраска: Turquoise;
Машина: Express 1500; Производитель: Chevrolet; Год выпуска: 2000; Окраска: Indigo;
Машина: Camaro; Производитель: Chevrolet; Год выпуска: 2010; Окраска: Mauv;
Машина: SRX; Производитель: Cadillac; Год выпуска: 1998; Окраска: Aquamarine;
Машина: ES; Производитель: Lexus; Год выпуска: 1999; Окраска: Orange;
Машина: Storm; Производитель: Geo; Год выпуска: 2000; Окраска: Purple;
Машина: SLR McLaren; Производитель: Mercedes-Benz; Год выпуска: 1999; Окраска: Maroon;
Машина: 88; Производитель: Oldsmobile; Год выпуска: 2008; Окраска: Orange;
Машина: Accent; Производитель: Hyundai; Год выпуска: 2006; Окраска: Crimson;
Машина: Skylark; Производитель: Buick; Год выпуска: 2008; Окраска: Blue;
Машина: Elan; Производитель: Lotus; Год выпуска: 2005; Окраска: Indigo;
Машина: 9-3; Производитель: Saab; Год выпуска: 2001; Окраска: Blue;
Машина: Optima; Производитель: Kia; Год выпуска: 2004; Окраска: Green;
Машина: Silverado 1500; Производитель: Chevrolet; Год выпуска: 2009; Окраска: Teal;
Машина: Roadmaster; Производитель: Buick; Год выпуска: 2006; Окраска: Aquamarine;
Машина: Prizm; Производитель: Chevrolet; Год выпуска: 2005; Окраска: Mauv;
Машина: Grand Marquis; Производитель: Mercury; Год выпуска: 2005; Окраска: Orange;
Машина: Escalade ESV; Производитель: Cadillac; Год выпуска: 2010; Окраска: Goldenrod;
Машина: MPV; Производитель: Mazda; Год выпуска: 2007; Окраска: Goldenrod;
Машина: 6000; Производитель: Pontiac; Год выпуска: 1999; Окраска: Khaki;
Машина: A5; Производитель: Audi; Год выпуска: 1998; Окраска: Maroon;
Машина: Escape; Производитель: Ford; Год выпуска: 1998; Окраска: Red;
Машина: XT; Производитель: Subaru; Год выпуска: 2007; Окраска: Orange;
Машина: Matrix; Производитель: Toyota; Год выпуска: 1998; Окраска: Khaki;
Машина: Diablo; Производитель: Lamborghini; Год выпуска: 2006; Окраска: Pink;
Машина: Neon; Производитель: Dodge; Год выпуска: 2009; Окраска: Yellow;
Машина: MPV; Производитель: Mazda; Год выпуска: 2007; Окраска: Crimson;
Машина: Tracker; Производитель: Geo; Год выпуска: 2004; Окраска: Aquamarine;
Машина: Vega; Производитель: Chevrolet; Год выпуска: 2010; Окраска: Green;
Машина: Continental; Производитель: Lincoln; Год выпуска: 2004; Окраска: Mauv;
Машина: 9-7X; Производитель: Saab; Год выпуска: 2008; Окраска: Maroon;
Машина: Cougar; Производитель: Mercury; Год выпуска: 2004; Окраска: Blue;
Машина: GX; Производитель: Lexus; Год выпуска: 2004; Окраска: Yellow;
Машина: G-Series G20; Производитель: Chevrolet; Год выпуска: 2007; Окраска: Maroon;
Машина: Outlook; Производитель: Saturn; Год выпуска: 2007; Окраска: Green;
Машина: Spectra; Производитель: Kia; Год выпуска: 2006; Окраска: Red;
Машина: Escape; Производитель: Ford; Год выпуска: 1999; Окраска: Maroon;
Машина: Ram 1500; Производитель: Dodge; Год выпуска: 2008; Окраска: Mauv;
Машина: CL-Class; Производитель: Mercedes-Benz; Год выпуска: 2000; Окраска: Fuscia;
Машина: MKX; Производитель: Lincoln; Год выпуска: 2010; Окраска: Violet;
Машина: SRX; Производитель: Cadillac; Год выпуска: 2007; Окраска: Blue;
Машина: Titan; Производитель: Nissan; Год выпуска: 1999; Окраска: Violet;
Машина: Journey; Производитель: Dodge; Год выпуска: 2004; Окраска: Teal;
Машина: 2500; Производитель: Ram; Год выпуска: 2002; Окраска: Blue;
Машина: Avalon; Производитель: Toyota; Год выпуска: 2010; Окраска: Aquamarine;
Машина: Integra; Производитель: Acura; Год выпуска: 2010; Окраска: Purple;
Машина: Chariot; Производитель: Mitsubishi; Год выпуска: 2010; Окраска: Orange;
Машина: Century; Производитель: Buick; Год выпуска: 2009; Окраска: Goldenrod;
Машина: Sparrow; Производитель: Corbin; Год выпуска: 2001; Окраска: Yellow;
